epoch,train_mae,val_mae
1,13320.59375,11607.0966796875
2,10731.755859375,7260.96533203125
3,5649.66845703125,4051.67529296875
4,3710.968505859375,3503.302490234375
5,3507.441162109375,3298.626708984375
6,3397.218505859375,3135.69970703125
7,3298.293212890625,2941.313720703125
8,3212.341796875,2861.53173828125
9,3122.8037109375,2639.716796875
10,3037.534423828125,2669.20849609375
11,2984.618408203125,2554.266845703125
12,2913.810302734375,2544.364990234375
13,2867.1962890625,2595.1611328125
14,2837.653564453125,2509.716064453125
15,2783.43212890625,2513.58740234375
16,2747.228271484375,2524.936279296875
17,2707.91162109375,2495.823486328125
18,2675.7392578125,2533.72314453125
19,2647.75927734375,2480.8828125
20,2613.801513671875,2455.3583984375
21,2571.9892578125,2476.83203125
22,2541.7568359375,2465.77978515625
23,2511.434814453125,2441.3779296875
24,2492.50830078125,2454.797119140625
25,2458.52685546875,2445.447021484375
26,2433.89404296875,2402.9140625
27,2406.322509765625,2383.307861328125
28,2382.07421875,2360.198974609375
29,2369.823486328125,2363.9052734375
30,2361.84326171875,2351.349853515625
31,2333.41064453125,2310.22412109375
32,2320.795654296875,2292.72314453125
33,2296.810302734375,2292.601318359375
34,2276.080078125,2276.39501953125
35,2268.21435546875,2257.741455078125
36,2254.339111328125,2231.244873046875
37,2227.947998046875,2236.013671875
38,2215.751708984375,2205.2607421875
39,2199.0830078125,2203.0546875
40,2182.44580078125,2172.3115234375
41,2167.425537109375,2165.569580078125
42,2168.051025390625,2161.70849609375
43,2154.07861328125,2149.943115234375
44,2143.656494140625,2163.400146484375
45,2122.790283203125,2174.376220703125
46,2127.419677734375,2139.6171875
47,2106.326904296875,2107.62451171875
48,2095.912353515625,2113.681396484375
49,2117.696044921875,2151.878173828125
50,2092.004150390625,2132.517822265625
51,2089.13818359375,2101.904052734375
52,2083.159423828125,2112.294921875
53,2081.7900390625,2080.421875
54,2067.103759765625,2098.90087890625
55,2070.244873046875,2173.194580078125
56,2093.3505859375,2129.391357421875
57,2066.009033203125,2095.739013671875
58,2045.5028076171875,2088.213134765625
